#,NACE definition,type,dimensional class,Share of firms,Share of firms per sbs sector,sbs reference row,L min,L max,Firms in absolute numbers,Workers per class in absolute numbers
16,"Fabricated metal products, except machinery and equipment",C,From 0 to 9 persons employed,0.00014968042988671684,0.10945780324006169,1.0,0,9,3106.029227889783,15530.146139448914
16,"Fabricated metal products, except machinery and equipment",C,From 10 to 19 persons employed,2.8568039037518537e-05,0.10945780324006169,1.0,10,19,592.8174063983188,8892.261095974784
16,"Fabricated metal products, except machinery and equipment",C,From 20 to 49 persons employed,1.80374977182169e-05,0.10945780324006169,1.0,20,49,374.29739581305694,13100.408853456993
16,"Fabricated metal products, except machinery and equipment",C,From 50 to 249 persons employed,8.719448354347066e-06,0.10945780324006169,1.0,50,249,180.93789188188913,27140.683782283373
16,"Fabricated metal products, except machinery and equipment",C,250 persons employed or more,2.9199982167532066e-06,0.10945780324006169,1.0,250,2000,60.59309031571918,60593.09031571918
16,"Fabricated metal products, except machinery and equipment",I,From 0 to 9 persons employed,0.0004571066161727201,0.10945780324006169,1.0,0,9,9485.451846769864,47427.25923384931
16,"Fabricated metal products, except machinery and equipment",I,From 10 to 19 persons employed,8.724346706522346e-05,0.10945780324006169,1.0,10,19,1810.3953793566136,27155.930690349207
16,"Fabricated metal products, except machinery and equipment",I,From 20 to 49 persons employed,5.5084419201878454e-05,0.10945780324006169,1.0,20,49,1143.0606938519431,40007.12428481801
16,"Fabricated metal products, except machinery and equipment",I,From 50 to 249 persons employed,2.6628180685777724e-05,0.10945780324006169,1.0,50,249,552.5632680114022,82884.49020171034
16,"Fabricated metal products, except machinery and equipment",I,250 persons employed or more,8.917334785186138e-06,0.10945780324006169,1.0,250,2000,185.0442472581673,185044.24725816734
16,"Fabricated metal products, except machinery and equipment",Int,From 0 to 9 persons employed,0.003317666087497182,0.10945780324006169,1.0,0,9,68845.12453594623,344225.62267973117
16,"Fabricated metal products, except machinery and equipment",Int,From 10 to 19 persons employed,0.0006332104629362901,0.10945780324006169,1.0,10,19,13139.795274333825,197096.9291150074
16,"Fabricated metal products, except machinery and equipment",Int,From 20 to 49 persons employed,0.0003998010596864716,0.10945780324006169,1.0,20,49,8296.30017542921,290370.5061400224
16,"Fabricated metal products, except machinery and equipment",Int,From 50 to 249 persons employed,0.0001932665354368251,0.10945780324006169,1.0,50,249,4010.4875987735736,601573.1398160361
16,"Fabricated metal products, except machinery and equipment",Int,250 persons employed or more,6.47217479707016e-05,0.10945780324006169,1.0,250,2000,1343.045587384135,1343045.587384135
17,"Computer, electronic and optical products",C,From 0 to 9 persons employed,0.0003300561619742068,0.0460478400142259,1.0,0,9,6849.018851114265,34245.094255571326
17,"Computer, electronic and optical products",C,From 10 to 19 persons employed,6.299459005421689e-05,0.0460478400142259,1.0,10,19,1307.2052108309485,19608.078162464226
17,"Computer, electronic and optical products",C,From 20 to 49 persons employed,3.977398563726003e-05,0.0460478400142259,1.0,20,49,825.3527999117631,28887.34799691171
17,"Computer, electronic and optical products",C,From 50 to 249 persons employed,1.9227013581843692e-05,0.0460478400142259,1.0,50,249,398.98112395480274,59847.168593220405
17,"Computer, electronic and optical products",C,250 persons employed or more,6.438807031236479e-06,0.0460478400142259,1.0,250,2000,133.61214186048738,133612.1418604874
17,"Computer, electronic and optical products",I,From 0 to 9 persons employed,0.0004966600318210649,0.0460478400142259,1.0,0,9,10306.227583181177,51531.13791590589
17,"Computer, electronic and optical products",I,From 10 to 19 persons employed,9.479264048197744e-05,0.0460478400142259,1.0,10,19,1967.048812918988,29505.732193784825
17,"Computer, electronic and optical products",I,From 20 to 49 persons employed,5.9850871603469376e-05,0.0460478400142259,1.0,20,49,1241.9696860554768,43468.93901194169
17,"Computer, electronic and optical products",I,From 50 to 249 persons employed,2.8932316004234427e-05,0.0460478400142259,1.0,50,249,600.3765435983049,90056.48153974571
17,"Computer, electronic and optical products",I,250 persons employed or more,9.688951376928133e-06,0.0460478400142259,1.0,250,2000,201.05611793818343,201056.1179381835
17,"Computer, electronic and optical products",Int,From 0 to 9 persons employed,0.0008242633132665116,0.0460478400142259,1.0,0,9,17104.346536288624,85521.73268144313
17,"Computer, electronic and optical products",Int,From 10 to 19 persons employed,0.000157319073230974,0.0460478400142259,1.0,10,19,3264.5392582701406,48968.08887405211
17,"Computer, electronic and optical products",Int,From 20 to 49 persons employed,9.932926865260165e-05,0.0460478400142259,1.0,20,49,2061.188706188211,72141.60471658739
17,"Computer, electronic and optical products",Int,From 50 to 249 persons employed,4.801644006400703e-05,0.0460478400142259,1.0,50,249,996.3925569354545,149458.88354031814
17,"Computer, electronic and optical products",Int,250 persons employed or more,1.6079907084011486e-05,0.0460478400142259,1.0,250,2000,333.6752935737253,333675.2935737254
18,Electrical equipment,C,From 0 to 9 persons employed,0.00031217483012092374,0.054724304078036946,1.0,0,9,6477.962064252227,32389.81032126114
18,Electrical equipment,C,From 10 to 19 persons employed,5.958175521125158e-05,0.054724304078036946,1.0,10,19,1236.3852326933015,18545.778490399523
18,Electrical equipment,C,From 20 to 49 persons employed,3.761916497869847e-05,0.054724304078036946,1.0,20,49,780.6379634336854,27322.328720178986
18,Electrical equipment,C,From 50 to 249 persons employed,1.8185358706055015e-05,0.054724304078036946,1.0,50,249,377.36566966981576,56604.85045047237
18,Electrical equipment,C,250 persons employed or more,6.0899741399608755e-06,0.054724304078036946,1.0,250,2000,126.37348576649207,126373.48576649206
18,Electrical equipment,I,From 0 to 9 persons employed,0.00029242902720542707,0.054724304078036946,1.0,0,9,6068.215506000749,30341.077530003746
18,Electrical equipment,I,From 10 to 19 persons employed,5.581306702039066e-05,0.054724304078036946,1.0,10,19,1158.180916467885,17372.713747018275
18,Electrical equipment,I,From 20 to 49 persons employed,3.5239663027092714e-05,0.054724304078036946,1.0,20,49,731.2607494912759,25594.126232194652
18,Electrical equipment,I,From 50 to 249 persons employed,1.7035091374065824e-05,0.054724304078036946,1.0,50,249,353.4963905947275,53024.45858920913
18,Electrical equipment,I,250 persons employed or more,5.70476874373608e-06,0.054724304078036946,1.0,250,2000,118.3800612398482,118380.0612398482
18,Electrical equipment,Int,From 0 to 9 persons employed,0.0013574578711530846,0.054724304078036946,1.0,0,9,28168.70466380651,140843.52331903257
18,Electrical equipment,Int,From 10 to 19 persons employed,0.0002590847012147016,0.054724304078036946,1.0,10,19,5376.28502992006,80644.27544880091
18,Electrical equipment,Int,From 20 to 49 persons employed,0.0001635827961746937,0.054724304078036946,1.0,20,49,3394.5182177995976,118808.1376229859
18,Electrical equipment,Int,From 50 to 249 persons employed,7.90770297070855e-05,0.054724304078036946,1.0,50,249,1640.9330579208404,246139.95868812606
18,Electrical equipment,Int,250 persons employed or more,2.6481581901418428e-05,0.054724304078036946,1.0,250,2000,549.5211862286488,549521.1862286488
19,Machinery and equipment n.e.c.,C,From 0 to 9 persons employed,7.891665666807747e-05,0.12512411703268533,1.0,0,9,1637.605145601899,8188.025728009496
19,Machinery and equipment n.e.c.,C,From 10 to 19 persons employed,1.5062050062993282e-05,0.12512411703268533,1.0,10,19,312.5536702627281,4688.3050539409205
19,Machinery and equipment n.e.c.,C,From 20 to 49 persons employed,9.509987482378792e-06,0.12512411703268533,1.0,20,49,197.34242545595356,6906.984890958373
19,Machinery and equipment n.e.c.,C,From 50 to 249 persons employed,4.59719224908577e-06,0.12512411703268533,1.0,50,249,95.39666276142849,14309.499414214271
19,Machinery and equipment n.e.c.,C,250 persons employed or more,1.539523215675645e-06,0.12512411703268533,1.0,250,2000,31.946755554633622,31946.755554633626
19,Machinery and equipment n.e.c.,I,From 0 to 9 persons employed,0.002022597601826461,0.12512411703268533,1.0,0,9,41971.066439930626,209855.33219965312
19,Machinery and equipment n.e.c.,I,From 10 to 19 persons employed,0.0003860334132518246,0.12512411703268533,1.0,10,19,8010.606766760953,120159.1015014143
19,Machinery and equipment n.e.c.,I,From 20 to 49 persons employed,0.0002437366037459073,0.12512411703268533,1.0,20,49,5057.795569630189,177022.84493705656
19,Machinery and equipment n.e.c.,I,From 50 to 249 persons employed,0.00011782392223284986,0.12512411703268533,1.0,50,249,2444.972575752346,366745.8863628519
19,Machinery and equipment n.e.c.,I,250 persons employed or more,3.945727170220197e-05,0.12512411703268533,1.0,250,2000,818.7806465586839,818780.646558684
19,Machinery and equipment n.e.c.,Int,From 0 to 9 persons employed,0.0023846321708785715,0.12512411703268533,1.0,0,9,49483.67148678537,247418.35743392687
19,Machinery and equipment n.e.c.,Int,From 10 to 19 persons employed,0.00045513140895800695,0.12512411703268533,1.0,10,19,9444.464181617639,141666.96272426457
19,Machinery and equipment n.e.c.,Int,From 20 to 49 persons employed,0.0002873642023447044,0.12512411703268533,1.0,20,49,5963.114965713327,208709.02379996644
19,Machinery and equipment n.e.c.,Int,From 50 to 249 persons employed,0.00013891379837582528,0.12512411703268533,1.0,50,249,2882.610092976435,432391.5139464652
19,Machinery and equipment n.e.c.,Int,250 persons employed or more,4.6519920418772706e-05,0.12512411703268533,1.0,250,2000,965.3381715243022,965338.1715243022
20,"Motor vehicles, trailers and semi-trailers",C,From 0 to 9 persons employed,0.0011074629376623029,0.10112097136086018,1.0,0,9,22981.04204929902,114905.21024649512
20,"Motor vehicles, trailers and semi-trailers",C,From 10 to 19 persons employed,0.00021137061444629975,0.10112097136086018,1.0,10,19,4386.166627688792,65792.49941533187
20,"Motor vehicles, trailers and semi-trailers",C,From 20 to 49 persons employed,0.00013345672661557674,0.10112097136086018,1.0,20,49,2769.3700094274227,96927.95032995977
20,"Motor vehicles, trailers and semi-trailers",C,From 50 to 249 persons employed,6.451388399009992e-05,0.10112097136086018,1.0,50,249,1338.7321871643267,200809.82807464903
20,"Motor vehicles, trailers and semi-trailers",C,250 persons employed or more,2.1604626640514278e-05,0.10112097136086018,1.0,250,2000,448.31914134580325,448319.1413458032
20,"Motor vehicles, trailers and semi-trailers",I,From 0 to 9 persons employed,0.0008401625912719365,0.10112097136086018,1.0,0,9,17434.273583027934,87171.36791513968
20,"Motor vehicles, trailers and semi-trailers",I,From 10 to 19 persons employed,0.00016035361285028895,0.10112097136086018,1.0,10,19,3327.509205362858,49912.63808044287
20,"Motor vehicles, trailers and semi-trailers",I,From 20 to 49 persons employed,0.00010124523850224195,0.10112097136086018,1.0,20,49,2100.9471325719564,73533.14964001846
20,"Motor vehicles, trailers and semi-trailers",I,From 50 to 249 persons employed,4.894263284381552e-05,0.10112097136086018,1.0,50,249,1015.6120490689477,152341.80736034218
20,"Motor vehicles, trailers and semi-trailers",I,250 persons employed or more,1.6390073639910888e-05,0.10112097136086018,1.0,250,2000,340.11158179701926,340111.58179701923
20,"Motor vehicles, trailers and semi-trailers",Int,From 0 to 9 persons employed,0.0016779224098916637,0.10112097136086018,1.0,0,9,34818.68706015302,174093.4353007651
20,"Motor vehicles, trailers and semi-trailers",Int,From 10 to 19 persons employed,0.00032024863199545193,0.10112097136086018,1.0,10,19,6645.502100190494,99682.53150285741
20,"Motor vehicles, trailers and semi-trailers",Int,From 20 to 49 persons employed,0.00020220092675222702,0.10112097136086018,1.0,20,49,4195.885787301262,146856.00255554417
20,"Motor vehicles, trailers and semi-trailers",Int,From 50 to 249 persons employed,9.774529513794707e-05,0.10112097136086018,1.0,50,249,2028.3195593234946,304247.9338985242
20,"Motor vehicles, trailers and semi-trailers",Int,250 persons employed or more,3.2733273470967646e-05,0.10112097136086018,1.0,250,2000,679.2504818584661,679250.4818584659
21,Other transport equipment,C,From 0 to 9 persons employed,0.0001130898492701274,0.02718937898894872,1.0,0,9,2346.735491583712,11733.677457918559
21,Other transport equipment,C,From 10 to 19 persons employed,2.158435295209421e-05,0.02718937898894872,1.0,10,19,447.89844059796656,6718.476608969498
21,Other transport equipment,C,From 20 to 49 persons employed,1.362808684947824e-05,0.02718937898894872,1.0,20,49,282.79739780768926,9897.908923269126
21,Other transport equipment,C,From 50 to 249 persons employed,6.58790932694454e-06,0.02718937898894872,1.0,50,249,136.70617418498836,20505.92612774825
21,Other transport equipment,C,250 persons employed or more,2.2061812519618233e-06,0.02718937898894872,1.0,250,2000,45.78062379832868,45780.623798328685
21,Other transport equipment,I,From 0 to 9 persons employed,0.0004631113582314841,0.02718937898894872,1.0,0,9,9610.056675567961,48050.2833778398
21,Other transport equipment,I,From 10 to 19 persons employed,8.838953342590154e-05,0.02718937898894872,1.0,10,19,1834.177483777756,27512.662256666343
21,Other transport equipment,I,From 20 to 49 persons employed,5.580803097440883e-05,0.02718937898894872,1.0,20,49,1158.0764131201568,40532.67445920549
21,Other transport equipment,I,From 50 to 249 persons employed,2.697797950919235e-05,0.02718937898894872,1.0,50,249,559.8219682317956,83973.29523476932
21,Other transport equipment,I,250 persons employed or more,9.034476592681775e-06,0.02718937898894872,1.0,250,2000,187.4750652225776,187475.0652225776
21,Other transport equipment,Int,From 0 to 9 persons employed,0.0003986351258991006,0.02718937898894872,1.0,0,9,8272.105800626176,41360.529003130876
21,Other transport equipment,Int,From 10 to 19 persons employed,7.60835858570864e-05,0.02718937898894872,1.0,10,19,1578.8158920549959,23682.238380824936
21,Other transport equipment,Int,From 20 to 49 persons employed,4.803821167034363e-05,0.02718937898894872,1.0,20,49,996.8443410843292,34889.551937951524
21,Other transport equipment,Int,From 50 to 249 persons employed,2.322199632334374e-05,0.02718937898894872,1.0,50,249,481.8812944674449,72282.19417011672
21,Other transport equipment,Int,250 persons employed or more,7.776660299823619e-06,0.02718937898894872,1.0,250,2000,161.3740300245212,161374.03002452123
22,Furniture and other manufactured goods,C,From 0 to 9 persons employed,0.0007443925261531256,0.04658677974573148,1.0,0,9,15446.942162072866,77234.71081036434
22,Furniture and other manufactured goods,C,From 10 to 19 persons employed,0.00014207491762599977,0.04658677974573148,1.0,10,19,2948.2067029762725,44223.10054464409
22,Furniture and other manufactured goods,C,From 20 to 49 persons employed,8.970430203939621e-05,0.04658677974573148,1.0,20,49,1861.4603406249557,65151.11192187345
22,Furniture and other manufactured goods,C,From 50 to 249 persons employed,4.3363666125668525e-05,0.04658677974573148,1.0,50,249,899.8425145940425,134976.37718910637
22,Furniture and other manufactured goods,C,250 persons employed or more,1.452177048513699e-05,0.04658677974573148,1.0,250,2000,301.34229038278215,301342.29038278206
22,Furniture and other manufactured goods,I,From 0 to 9 persons employed,0.0003346867973264355,0.04658677974573148,1.0,0,9,6945.109494083474,34725.547470417376
22,Furniture and other manufactured goods,I,From 10 to 19 persons employed,6.387839411337883e-05,0.04658677974573148,1.0,10,19,1325.545091612706,19883.176374190592
22,Furniture and other manufactured goods,I,From 20 to 49 persons employed,4.033200831706482e-05,0.04658677974573148,1.0,20,49,836.9323681600026,29292.632885600095
22,Furniture and other manufactured goods,I,From 50 to 249 persons employed,1.94967655182333e-05,0.04658677974573148,1.0,50,249,404.578765539211,60686.81483088165
22,Furniture and other manufactured goods,I,250 persons employed or more,6.52914246774729e-06,0.04658677974573148,1.0,250,2000,135.48669891733923,135486.6989173392
22,Furniture and other manufactured goods,Int,From 0 to 9 persons employed,0.0005912230975773674,0.04658677974573148,1.0,0,9,12268.51247466788,61342.56237333941
22,Furniture and other manufactured goods,Int,From 10 to 19 persons employed,0.00011284096754836852,0.04658677974573148,1.0,10,19,2341.570929304891,35123.56393957337
22,Furniture and other manufactured goods,Int,From 20 to 49 persons employed,7.1246356531578e-05,0.04658677974573148,1.0,20,49,1478.4382028780888,51745.33710073311
22,Furniture and other manufactured goods,Int,From 50 to 249 persons employed,3.444097046704458e-05,0.04658677974573148,1.0,50,249,714.6870234705452,107203.05352058179
22,Furniture and other manufactured goods,Int,250 persons employed or more,1.1533708126946152e-05,0.04658677974573148,1.0,250,2000,239.3367962355366,239336.79623553657
23,Repair and installation services of machinery and equipment,C,From 0 to 9 persons employed,1.4015891880390693e-05,0.045973482487126634,1.0,0,9,290.8447675383108,1454.223837691554
23,Repair and installation services of machinery and equipment,C,From 10 to 19 persons employed,2.675076138461665e-06,0.045973482487126634,1.0,10,19,55.510694879623834,832.6604231943575
23,Repair and installation services of machinery and equipment,C,From 20 to 49 persons employed,1.6890091644088556e-06,0.045973482487126634,1.0,20,49,35.048749090298834,1226.7062181604592
23,Repair and installation services of machinery and equipment,C,From 50 to 249 persons employed,8.164784500129529e-07,0.045973482487126634,1.0,50,249,16.942802286188737,2541.4203429283107
23,Repair and installation services of machinery and equipment,C,250 persons employed or more,2.7342505181152287e-07,0.045973482487126634,1.0,250,2000,5.673862663319589,5673.862663319591
23,Repair and installation services of machinery and equipment,I,From 0 to 9 persons employed,0.00048535960868514226,0.045973482487126634,1.0,0,9,10071.731700357604,50358.65850178802
23,Repair and installation services of machinery and equipment,I,From 10 to 19 persons employed,9.263583929205673e-05,0.045973482487126634,1.0,10,19,1922.292878294059,28834.39317441089
23,Repair and installation services of machinery and equipment,I,From 20 to 49 persons employed,5.848909467188684e-05,0.045973482487126634,1.0,20,49,1213.7113562620455,42479.89746917159
23,Repair and installation services of machinery and equipment,I,From 50 to 249 persons employed,2.8274023828092762e-05,0.045973482487126634,1.0,50,249,586.7162759124448,88007.44138686672
23,Repair and installation services of machinery and equipment,I,250 persons employed or more,9.46850027700529e-06,0.045973482487126634,1.0,250,2000,196.48152151165647,196481.52151165647
23,Repair and installation services of machinery and equipment,Int,From 0 to 9 persons employed,0.0011489380236097838,0.045973482487126634,1.0,0,9,23841.6945025263,119208.47251263152
23,Repair and installation services of machinery and equipment,Int,From 10 to 19 persons employed,0.0002192865582696093,0.045973482487126634,1.0,10,19,4550.430939998299,68256.4640999745
23,Repair and installation services of machinery and equipment,Int,From 20 to 49 persons employed,0.00013845475320266453,0.045973482487126634,1.0,20,49,2873.084413995969,100557.95448985891
23,Repair and installation services of machinery and equipment,Int,From 50 to 249 persons employed,6.692996383557382e-05,0.045973482487126634,1.0,50,249,1388.8684315794246,208330.26473691373
23,Repair and installation services of machinery and equipment,Int,250 persons employed or more,2.2413731592297136e-05,0.045973482487126634,1.0,250,2000,465.1089356467009,465108.935646701
24,"Electricity, gas, steam and air conditioning",C,From 0 to 9 persons employed,0.0004595261035884147,1.0,2.0,0,9,9535.658801916548,47678.29400958275
24,"Electricity, gas, steam and air conditioning",C,From 10 to 19 persons employed,2.115549387156614e-05,1.0,2.0,10,19,438.9991553689339,6584.987330534009
24,"Electricity, gas, steam and air conditioning",C,From 20 to 49 persons employed,1.6628205891153408e-05,1.0,2.0,20,49,345.05308104994265,12076.857836747997
24,"Electricity, gas, steam and air conditioning",C,From 50 to 249 persons employed,1.0967969158359448e-05,1.0,2.0,50,249,227.59710673092715,34139.56600963908
24,"Electricity, gas, steam and air conditioning",C,250 persons employed or more,1.1678547254372072e-05,1.0,2.0,250,2000,242.34236325232993,242342.36325232993
24,"Electricity, gas, steam and air conditioning",I,From 0 to 9 persons employed,4.5125908502962005e-07,1.0,2.0,0,9,9.364109312844683,46.82054656422342
24,"Electricity, gas, steam and air conditioning",I,From 10 to 19 persons employed,2.077489990945828e-08,1.0,2.0,10,19,0.43110142303906235,6.466521345585936
24,"Electricity, gas, steam and air conditioning",I,From 20 to 49 persons employed,1.6329059258071718e-08,1.0,2.0,20,49,0.3388454680274535,11.859591380960877
24,"Electricity, gas, steam and air conditioning",I,From 50 to 249 persons employed,1.077065195727688e-08,1.0,2.0,50,249,0.2235025634817415,33.52538452226123
24,"Electricity, gas, steam and air conditioning",I,250 persons employed or more,1.1468446530740213e-08,1.0,2.0,250,2000,0.23798254821909384,237.98254821909384
24,"Electricity, gas, steam and air conditioning",Int,From 0 to 9 persons employed,0.0013930643429811696,1.0,2.0,0,9,28907.577088770602,144537.885443853
24,"Electricity, gas, steam and air conditioning",Int,From 10 to 19 persons employed,6.413338424193592e-05,1.0,2.0,10,19,1330.8364098746936,19962.546148120407
24,"Electricity, gas, steam and air conditioning",Int,From 20 to 49 persons employed,5.040880275098095e-05,1.0,2.0,20,49,1046.0366449106011,36611.282571871045
24,"Electricity, gas, steam and air conditioning",Int,From 50 to 249 persons employed,3.324966009572507e-05,1.0,2.0,50,249,689.9660573722578,103494.90860583867
24,"Electricity, gas, steam and air conditioning",Int,250 persons employed or more,3.540379454146973e-05,1.0,2.0,250,2000,734.6666541994509,734666.6541994509
25,Natural water; water treatment and supply services,C,From 0 to 9 persons employed,0.00011991408515359676,0.20467371416954666,3.0,0,9,2488.3456949223323,12441.728474611658
25,Natural water; water treatment and supply services,C,From 10 to 19 persons employed,2.3863499533054083e-05,0.20467371416954666,3.0,10,19,495.19317311887215,7427.89759678308
25,Natural water; water treatment and supply services,C,From 20 to 49 persons employed,1.9176026410489885e-05,0.20467371416954666,3.0,20,49,397.92308554195074,13927.307993968278
25,Natural water; water treatment and supply services,C,From 50 to 249 persons employed,1.103686853403751e-05,0.20467371416954666,3.0,50,249,229.0268425674783,34354.026385121746
25,Natural water; water treatment and supply services,C,250 persons employed or more,,0.20467371416954666,3.0,250,2000,0.0,
25,Natural water; water treatment and supply services,I,From 0 to 9 persons employed,4.3676811185501497e-08,0.20467371416954666,3.0,0,9,0.9063406099639357,4.5317030498196775
25,Natural water; water treatment and supply services,I,From 10 to 19 persons employed,8.691902723482886e-09,0.20467371416954666,3.0,10,19,0.18036629054008674,2.7054943581013005
25,Natural water; water treatment and supply services,I,From 20 to 49 persons employed,6.9845646885130326e-09,0.20467371416954666,3.0,20,49,0.14493719775542682,5.072801921439939
25,Natural water; water treatment and supply services,I,From 50 to 249 persons employed,4.020005009610833e-09,0.20467371416954666,3.0,50,249,0.08341940937479009,12.512911406218514
25,Natural water; water treatment and supply services,I,250 persons employed or more,,0.20467371416954666,3.0,250,2000,0.0,
25,Natural water; water treatment and supply services,Int,From 0 to 9 persons employed,0.000144378259040777,0.20467371416954666,3.0,0,9,2996.003504211555,14980.017521057773
25,Natural water; water treatment and supply services,Int,From 10 to 19 persons employed,2.8731991848910847e-05,0.20467371416954666,3.0,10,19,596.2196028281703,8943.294042422553
25,Natural water; water treatment and supply services,Int,From 20 to 49 persons employed,2.3088207735731926e-05,0.20467371416954666,3.0,20,49,479.10503798692247,16768.676329542286
25,Natural water; water treatment and supply services,Int,From 50 to 249 persons employed,1.3288546230121263e-05,0.20467371416954666,3.0,50,249,275.75156630802866,41362.7349462043
25,Natural water; water treatment and supply services,Int,250 persons employed or more,,0.20467371416954666,3.0,250,2000,0.0,
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",C,From 0 to 9 persons employed,0.00018059598213663247,0.7953262858304534,3.0,0,9,3747.560047631992,18737.800238159958
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",C,From 10 to 19 persons employed,3.593949893266317e-05,0.7953262858304534,3.0,10,19,745.7830940561176,11186.746410841764
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",C,From 20 to 49 persons employed,2.8879954499461477e-05,0.7953262858304534,3.0,20,49,599.2899862950945,20975.149520328312
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",C,From 50 to 249 persons employed,1.6622018256356717e-05,0.7953262858304534,3.0,50,249,344.9246810009544,51738.70215014315
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",C,250 persons employed or more,,0.7953262858304534,3.0,250,2000,0.0,
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",I,From 0 to 9 persons employed,1.8878212648764802e-07,0.7953262858304534,3.0,0,9,3.917431310276165,19.587156551380826
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",I,From 10 to 19 persons employed,3.7568582385601594e-08,0.7953262858304534,3.0,10,19,0.7795883204529681,11.69382480679452
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",I,From 20 to 49 persons employed,3.018903941700128e-08,0.7953262858304534,3.0,20,49,0.6264549003639921,21.925921512739727
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",I,From 50 to 249 persons employed,1.737546935334074e-08,0.7953262858304534,3.0,50,249,0.3605595982094978,54.08393973142466
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",I,250 persons employed or more,,0.7953262858304534,3.0,250,2000,0.0,
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",Int,From 0 to 9 persons employed,0.0008463788197396599,0.7953262858304534,3.0,0,9,17563.266981313885,87816.33490656942
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",Int,From 10 to 19 persons employed,0.00016843359596809153,0.7953262858304534,3.0,10,19,3495.1775087191813,52427.662630787716
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",Int,From 20 to 49 persons employed,0.0001353484253315021,0.7953262858304534,3.0,20,49,2808.6247837921983,98301.86743272695
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",Int,From 50 to 249 persons employed,7.790053813524234e-05,0.7953262858304534,3.0,50,249,1616.5195977826213,242477.93966739313
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",Int,250 persons employed or more,,0.7953262858304534,3.0,250,2000,0.0,
27,Constructions and construction works,C,From 0 to 9 persons employed,0.001668291384705052,1.0,4.0,0,9,34618.83297270285,173094.16486351425
27,Constructions and construction works,C,From 10 to 19 persons employed,0.00017120115902147882,1.0,4.0,10,19,3552.6074061369977,53289.11109205496
27,Constructions and construction works,C,From 20 to 49 persons employed,6.894389686031012e-05,1.0,4.0,20,49,1430.6596987649723,50073.08945677404
27,Constructions and construction works,C,From 50 to 249 persons employed,1.5113924841922728e-05,1.0,4.0,50,249,313.6301274834023,47044.51912251035
27,Constructions and construction works,C,250 persons employed or more,2.2373910041094997e-06,1.0,4.0,250,2000,46.42825958103752,46428.25958103752
27,Constructions and construction works,I,From 0 to 9 persons employed,0.03755483904061566,1.0,4.0,0,9,779303.1313253875,3896515.6566269374
27,Constructions and construction works,I,From 10 to 19 persons employed,0.003853902279639947,1.0,4.0,10,19,79972.5998318704,1199588.997478056
27,Constructions and construction works,I,From 20 to 49 persons employed,0.0015519932388067274,1.0,4.0,20,49,32205.521889998356,1127193.2661499428
27,Constructions and construction works,I,From 50 to 249 persons employed,0.00034022894316553724,1.0,4.0,50,249,7060.114955883028,1059017.2433824542
27,Constructions and construction works,I,250 persons employed or more,5.0365817267053155e-05,1.0,4.0,250,2000,1045.144650081646,1045144.650081646
27,Constructions and construction works,Int,From 0 to 9 persons employed,0.023075928741312177,1.0,4.0,0,9,478850.23570190964,2394251.178509548
27,Constructions and construction works,Int,From 10 to 19 persons employed,0.002368066982919867,1.0,4.0,10,19,49139.92609532594,737098.8914298891
27,Constructions and construction works,Int,From 20 to 49 persons employed,0.0009536370358815741,1.0,4.0,20,49,19788.98983980809,692614.6443932833
27,Constructions and construction works,Int,From 50 to 249 persons employed,0.00020905691646631486,1.0,4.0,50,249,4338.154916633569,650723.2374950354
27,Constructions and construction works,Int,250 persons employed or more,3.094775639952831e-05,1.0,4.0,250,2000,642.1990903373164,642199.0903373164
28,Wholesale and retail trade and repair services of motor vehicles and motorcycles,C,From 0 to 9 persons employed,0.0052213774924406,0.1277633364374116,5.0,0,9,108349.17506343685,541745.8753171843
28,Wholesale and retail trade and repair services of motor vehicles and motorcycles,C,From 10 to 19 persons employed,0.000491189809409561,0.1277633364374116,5.0,10,19,10192.714609534269,152890.71914301402
