#,NACE definition,type,dimensional class,Share of firms,Share of firms per sbs sector,sbs reference row
20,"Motor vehicles, trailers and semi-trailers",Int,From 0 to 9 persons employed,0.0016779224098916637,0.10112097136086018,1.0
20,"Motor vehicles, trailers and semi-trailers",Int,From 10 to 19 persons employed,0.00032024863199545193,0.10112097136086018,1.0
20,"Motor vehicles, trailers and semi-trailers",Int,From 20 to 49 persons employed,0.00020220092675222702,0.10112097136086018,1.0
20,"Motor vehicles, trailers and semi-trailers",Int,From 50 to 249 persons employed,9.774529513794707e-05,0.10112097136086018,1.0
20,"Motor vehicles, trailers and semi-trailers",Int,250 persons employed or more,3.2733273470967646e-05,0.10112097136086018,1.0
21,Other transport equipment,C,From 0 to 9 persons employed,0.0001130898492701274,0.02718937898894872,1.0
21,Other transport equipment,C,From 10 to 19 persons employed,2.158435295209421e-05,0.02718937898894872,1.0
21,Other transport equipment,C,From 20 to 49 persons employed,1.362808684947824e-05,0.02718937898894872,1.0
21,Other transport equipment,C,From 50 to 249 persons employed,6.58790932694454e-06,0.02718937898894872,1.0
21,Other transport equipment,C,250 persons employed or more,2.2061812519618233e-06,0.02718937898894872,1.0
21,Other transport equipment,I,From 0 to 9 persons employed,0.0004631113582314841,0.02718937898894872,1.0
21,Other transport equipment,I,From 10 to 19 persons employed,8.838953342590154e-05,0.02718937898894872,1.0
21,Other transport equipment,I,From 20 to 49 persons employed,5.580803097440883e-05,0.02718937898894872,1.0
21,Other transport equipment,I,From 50 to 249 persons employed,2.697797950919235e-05,0.02718937898894872,1.0
21,Other transport equipment,I,250 persons employed or more,9.034476592681775e-06,0.02718937898894872,1.0
21,Other transport equipment,Int,From 0 to 9 persons employed,0.0003986351258991006,0.02718937898894872,1.0
21,Other transport equipment,Int,From 10 to 19 persons employed,7.60835858570864e-05,0.02718937898894872,1.0
21,Other transport equipment,Int,From 20 to 49 persons employed,4.803821167034363e-05,0.02718937898894872,1.0
21,Other transport equipment,Int,From 50 to 249 persons employed,2.322199632334374e-05,0.02718937898894872,1.0
21,Other transport equipment,Int,250 persons employed or more,7.776660299823619e-06,0.02718937898894872,1.0
22,Furniture and other manufactured goods,C,From 0 to 9 persons employed,0.0007443925261531256,0.04658677974573148,1.0
22,Furniture and other manufactured goods,C,From 10 to 19 persons employed,0.00014207491762599977,0.04658677974573148,1.0
22,Furniture and other manufactured goods,C,From 20 to 49 persons employed,8.970430203939621e-05,0.04658677974573148,1.0
22,Furniture and other manufactured goods,C,From 50 to 249 persons employed,4.3363666125668525e-05,0.04658677974573148,1.0
22,Furniture and other manufactured goods,C,250 persons employed or more,1.452177048513699e-05,0.04658677974573148,1.0
22,Furniture and other manufactured goods,I,From 0 to 9 persons employed,0.0003346867973264355,0.04658677974573148,1.0
22,Furniture and other manufactured goods,I,From 10 to 19 persons employed,6.387839411337883e-05,0.04658677974573148,1.0
22,Furniture and other manufactured goods,I,From 20 to 49 persons employed,4.033200831706482e-05,0.04658677974573148,1.0
22,Furniture and other manufactured goods,I,From 50 to 249 persons employed,1.94967655182333e-05,0.04658677974573148,1.0
22,Furniture and other manufactured goods,I,250 persons employed or more,6.52914246774729e-06,0.04658677974573148,1.0
22,Furniture and other manufactured goods,Int,From 0 to 9 persons employed,0.0005912230975773674,0.04658677974573148,1.0
22,Furniture and other manufactured goods,Int,From 10 to 19 persons employed,0.00011284096754836852,0.04658677974573148,1.0
22,Furniture and other manufactured goods,Int,From 20 to 49 persons employed,7.1246356531578e-05,0.04658677974573148,1.0
22,Furniture and other manufactured goods,Int,From 50 to 249 persons employed,3.444097046704458e-05,0.04658677974573148,1.0
22,Furniture and other manufactured goods,Int,250 persons employed or more,1.1533708126946152e-05,0.04658677974573148,1.0
23,Repair and installation services of machinery and equipment,C,From 0 to 9 persons employed,1.4015891880390693e-05,0.045973482487126634,1.0
23,Repair and installation services of machinery and equipment,C,From 10 to 19 persons employed,2.675076138461665e-06,0.045973482487126634,1.0
23,Repair and installation services of machinery and equipment,C,From 20 to 49 persons employed,1.6890091644088556e-06,0.045973482487126634,1.0
23,Repair and installation services of machinery and equipment,C,From 50 to 249 persons employed,8.164784500129529e-07,0.045973482487126634,1.0
23,Repair and installation services of machinery and equipment,C,250 persons employed or more,2.7342505181152287e-07,0.045973482487126634,1.0
23,Repair and installation services of machinery and equipment,I,From 0 to 9 persons employed,0.00048535960868514226,0.045973482487126634,1.0
23,Repair and installation services of machinery and equipment,I,From 10 to 19 persons employed,9.263583929205673e-05,0.045973482487126634,1.0
23,Repair and installation services of machinery and equipment,I,From 20 to 49 persons employed,5.848909467188684e-05,0.045973482487126634,1.0
23,Repair and installation services of machinery and equipment,I,From 50 to 249 persons employed,2.8274023828092762e-05,0.045973482487126634,1.0
23,Repair and installation services of machinery and equipment,I,250 persons employed or more,9.46850027700529e-06,0.045973482487126634,1.0
23,Repair and installation services of machinery and equipment,Int,From 0 to 9 persons employed,0.0011489380236097838,0.045973482487126634,1.0
23,Repair and installation services of machinery and equipment,Int,From 10 to 19 persons employed,0.0002192865582696093,0.045973482487126634,1.0
23,Repair and installation services of machinery and equipment,Int,From 20 to 49 persons employed,0.00013845475320266453,0.045973482487126634,1.0
23,Repair and installation services of machinery and equipment,Int,From 50 to 249 persons employed,6.692996383557382e-05,0.045973482487126634,1.0
23,Repair and installation services of machinery and equipment,Int,250 persons employed or more,2.2413731592297136e-05,0.045973482487126634,1.0
24,"Electricity, gas, steam and air conditioning",C,From 0 to 9 persons employed,0.0004595261035884147,1.0,2.0
24,"Electricity, gas, steam and air conditioning",C,From 10 to 19 persons employed,2.115549387156614e-05,1.0,2.0
24,"Electricity, gas, steam and air conditioning",C,From 20 to 49 persons employed,1.6628205891153408e-05,1.0,2.0
24,"Electricity, gas, steam and air conditioning",C,From 50 to 249 persons employed,1.0967969158359448e-05,1.0,2.0
24,"Electricity, gas, steam and air conditioning",C,250 persons employed or more,1.1678547254372072e-05,1.0,2.0
24,"Electricity, gas, steam and air conditioning",I,From 0 to 9 persons employed,4.5125908502962005e-07,1.0,2.0
24,"Electricity, gas, steam and air conditioning",I,From 10 to 19 persons employed,2.077489990945828e-08,1.0,2.0
24,"Electricity, gas, steam and air conditioning",I,From 20 to 49 persons employed,1.6329059258071718e-08,1.0,2.0
24,"Electricity, gas, steam and air conditioning",I,From 50 to 249 persons employed,1.077065195727688e-08,1.0,2.0
24,"Electricity, gas, steam and air conditioning",I,250 persons employed or more,1.1468446530740213e-08,1.0,2.0
24,"Electricity, gas, steam and air conditioning",Int,From 0 to 9 persons employed,0.0013930643429811696,1.0,2.0
24,"Electricity, gas, steam and air conditioning",Int,From 10 to 19 persons employed,6.413338424193592e-05,1.0,2.0
24,"Electricity, gas, steam and air conditioning",Int,From 20 to 49 persons employed,5.040880275098095e-05,1.0,2.0
24,"Electricity, gas, steam and air conditioning",Int,From 50 to 249 persons employed,3.324966009572507e-05,1.0,2.0
24,"Electricity, gas, steam and air conditioning",Int,250 persons employed or more,3.540379454146973e-05,1.0,2.0
25,Natural water; water treatment and supply services,C,From 0 to 9 persons employed,0.00011991408515359676,0.20467371416954666,3.0
25,Natural water; water treatment and supply services,C,From 10 to 19 persons employed,2.3863499533054083e-05,0.20467371416954666,3.0
25,Natural water; water treatment and supply services,C,From 20 to 49 persons employed,1.9176026410489885e-05,0.20467371416954666,3.0
25,Natural water; water treatment and supply services,C,From 50 to 249 persons employed,1.103686853403751e-05,0.20467371416954666,3.0
25,Natural water; water treatment and supply services,C,250 persons employed or more,,0.20467371416954666,3.0
25,Natural water; water treatment and supply services,I,From 0 to 9 persons employed,4.3676811185501497e-08,0.20467371416954666,3.0
25,Natural water; water treatment and supply services,I,From 10 to 19 persons employed,8.691902723482886e-09,0.20467371416954666,3.0
25,Natural water; water treatment and supply services,I,From 20 to 49 persons employed,6.9845646885130326e-09,0.20467371416954666,3.0
25,Natural water; water treatment and supply services,I,From 50 to 249 persons employed,4.020005009610833e-09,0.20467371416954666,3.0
25,Natural water; water treatment and supply services,I,250 persons employed or more,,0.20467371416954666,3.0
25,Natural water; water treatment and supply services,Int,From 0 to 9 persons employed,0.000144378259040777,0.20467371416954666,3.0
25,Natural water; water treatment and supply services,Int,From 10 to 19 persons employed,2.8731991848910847e-05,0.20467371416954666,3.0
25,Natural water; water treatment and supply services,Int,From 20 to 49 persons employed,2.3088207735731926e-05,0.20467371416954666,3.0
25,Natural water; water treatment and supply services,Int,From 50 to 249 persons employed,1.3288546230121263e-05,0.20467371416954666,3.0
25,Natural water; water treatment and supply services,Int,250 persons employed or more,,0.20467371416954666,3.0
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",C,From 0 to 9 persons employed,0.00018059598213663247,0.7953262858304534,3.0
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",C,From 10 to 19 persons employed,3.593949893266317e-05,0.7953262858304534,3.0
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",C,From 20 to 49 persons employed,2.8879954499461477e-05,0.7953262858304534,3.0
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",C,From 50 to 249 persons employed,1.6622018256356717e-05,0.7953262858304534,3.0
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",C,250 persons employed or more,,0.7953262858304534,3.0
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",I,From 0 to 9 persons employed,1.8878212648764802e-07,0.7953262858304534,3.0
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",I,From 10 to 19 persons employed,3.7568582385601594e-08,0.7953262858304534,3.0
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",I,From 20 to 49 persons employed,3.018903941700128e-08,0.7953262858304534,3.0
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",I,From 50 to 249 persons employed,1.737546935334074e-08,0.7953262858304534,3.0
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",I,250 persons employed or more,,0.7953262858304534,3.0
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",Int,From 0 to 9 persons employed,0.0008463788197396599,0.7953262858304534,3.0
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",Int,From 10 to 19 persons employed,0.00016843359596809153,0.7953262858304534,3.0
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",Int,From 20 to 49 persons employed,0.0001353484253315021,0.7953262858304534,3.0
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",Int,From 50 to 249 persons employed,7.790053813524234e-05,0.7953262858304534,3.0
26,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",Int,250 persons employed or more,,0.7953262858304534,3.0
27,Constructions and construction works,C,From 0 to 9 persons employed,0.001668291384705052,1.0,4.0
27,Constructions and construction works,C,From 10 to 19 persons employed,0.00017120115902147882,1.0,4.0
27,Constructions and construction works,C,From 20 to 49 persons employed,6.894389686031012e-05,1.0,4.0
27,Constructions and construction works,C,From 50 to 249 persons employed,1.5113924841922728e-05,1.0,4.0
27,Constructions and construction works,C,250 persons employed or more,2.2373910041094997e-06,1.0,4.0
27,Constructions and construction works,I,From 0 to 9 persons employed,0.03755483904061566,1.0,4.0
27,Constructions and construction works,I,From 10 to 19 persons employed,0.003853902279639947,1.0,4.0
27,Constructions and construction works,I,From 20 to 49 persons employed,0.0015519932388067274,1.0,4.0
27,Constructions and construction works,I,From 50 to 249 persons employed,0.00034022894316553724,1.0,4.0
27,Constructions and construction works,I,250 persons employed or more,5.0365817267053155e-05,1.0,4.0
27,Constructions and construction works,Int,From 0 to 9 persons employed,0.023075928741312177,1.0,4.0
27,Constructions and construction works,Int,From 10 to 19 persons employed,0.002368066982919867,1.0,4.0
27,Constructions and construction works,Int,From 20 to 49 persons employed,0.0009536370358815741,1.0,4.0
27,Constructions and construction works,Int,From 50 to 249 persons employed,0.00020905691646631486,1.0,4.0
27,Constructions and construction works,Int,250 persons employed or more,3.094775639952831e-05,1.0,4.0
28,Wholesale and retail trade and repair services of motor vehicles and motorcycles,C,From 0 to 9 persons employed,0.0052213774924406,0.1277633364374116,5.0
28,Wholesale and retail trade and repair services of motor vehicles and motorcycles,C,From 10 to 19 persons employed,0.000491189809409561,0.1277633364374116,5.0
28,Wholesale and retail trade and repair services of motor vehicles and motorcycles,C,From 20 to 49 persons employed,0.0002275413781455149,0.1277633364374116,5.0
28,Wholesale and retail trade and repair services of motor vehicles and motorcycles,C,From 50 to 249 persons employed,7.023756725389381e-05,0.1277633364374116,5.0
28,Wholesale and retail trade and repair services of motor vehicles and motorcycles,C,250 persons employed or more,2.4668804108684655e-05,0.1277633364374116,5.0
28,Wholesale and retail trade and repair services of motor vehicles and motorcycles,I,From 0 to 9 persons employed,0.0010044911897966783,0.1277633364374116,5.0
28,Wholesale and retail trade and repair services of motor vehicles and motorcycles,I,From 10 to 19 persons employed,9.44953389759966e-05,0.1277633364374116,5.0
28,Wholesale and retail trade and repair services of motor vehicles and motorcycles,I,From 20 to 49 persons employed,4.3774523100900735e-05,0.1277633364374116,5.0
28,Wholesale and retail trade and repair services of motor vehicles and motorcycles,I,From 50 to 249 persons employed,1.3512337999202928e-05,0.1277633364374116,5.0
28,Wholesale and retail trade and repair services of motor vehicles and motorcycles,I,250 persons employed or more,4.745796760695662e-06,0.1277633364374116,5.0
28,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Int,From 0 to 9 persons employed,0.006284610876878602,0.1277633364374116,5.0
28,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Int,From 10 to 19 persons employed,0.0005912111934631151,0.1277633364374116,5.0
28,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Int,From 20 to 49 persons employed,0.000273875815740882,0.1277633364374116,5.0
28,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Int,From 50 to 249 persons employed,8.454010072406868e-05,0.1277633364374116,5.0
28,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Int,250 persons employed or more,2.9692132937233873e-05,0.1277633364374116,5.0
29,"Wholesale trade services, except of motor vehicles and motorcycles",C,From 0 to 9 persons employed,0.009013864912991484,0.4823058606794672,5.0
29,"Wholesale trade services, except of motor vehicles and motorcycles",C,From 10 to 19 persons employed,0.0008479598717131417,0.4823058606794672,5.0
29,"Wholesale trade services, except of motor vehicles and motorcycles",C,From 20 to 49 persons employed,0.00039281343815669685,0.4823058606794672,5.0
29,"Wholesale trade services, except of motor vehicles and motorcycles",C,From 50 to 249 persons employed,0.00012125381548458414,0.4823058606794672,5.0
29,"Wholesale trade services, except of motor vehicles and motorcycles",C,250 persons employed or more,4.258670592629297e-05,0.4823058606794672,5.0
29,"Wholesale trade services, except of motor vehicles and motorcycles",I,From 0 to 9 persons employed,0.003025988417589376,0.4823058606794672,5.0
29,"Wholesale trade services, except of motor vehicles and motorcycles",I,From 10 to 19 persons employed,0.0002846633242402314,0.4823058606794672,5.0
29,"Wholesale trade services, except of motor vehicles and motorcycles",I,From 20 to 49 persons employed,0.00013186895139979878,0.4823058606794672,5.0
29,"Wholesale trade services, except of motor vehicles and motorcycles",I,From 50 to 249 persons employed,4.070536277019726e-05,0.4823058606794672,5.0
29,"Wholesale trade services, except of motor vehicles and motorcycles",I,250 persons employed or more,1.4296517655874161e-05,0.4823058606794672,5.0
29,"Wholesale trade services, except of motor vehicles and motorcycles",Int,From 0 to 9 persons employed,0.03518713509600995,0.4823058606794672,5.0
29,"Wholesale trade services, except of motor vehicles and motorcycles",Int,From 10 to 19 persons employed,0.0033101537298347765,0.4823058606794672,5.0
29,"Wholesale trade services, except of motor vehicles and motorcycles",Int,From 20 to 49 persons employed,0.0015334132083593276,0.4823058606794672,5.0
29,"Wholesale trade services, except of motor vehicles and motorcycles",Int,From 50 to 249 persons employed,0.0004733346269937334,0.4823058606794672,5.0
29,"Wholesale trade services, except of motor vehicles and motorcycles",Int,250 persons employed or more,0.00016624435679779906,0.4823058606794672,5.0
30,"Retail trade services, except of motor vehicles and motorcycles",C,From 0 to 9 persons employed,0.02613759659276435,0.3899308028831212,5.0
30,"Retail trade services, except of motor vehicles and motorcycles",C,From 10 to 19 persons employed,0.002458837942173546,0.3899308028831212,5.0
30,"Retail trade services, except of motor vehicles and motorcycles",C,From 20 to 49 persons employed,0.0011390451578610458,0.3899308028831212,5.0
30,"Retail trade services, except of motor vehicles and motorcycles",C,From 50 to 249 persons employed,0.0003516009331248936,0.3899308028831212,5.0
30,"Retail trade services, except of motor vehicles and motorcycles",C,250 persons employed or more,0.00012348910821947481,0.3899308028831212,5.0
30,"Retail trade services, except of motor vehicles and motorcycles",I,From 0 to 9 persons employed,0.0011362464445041406,0.3899308028831212,5.0
30,"Retail trade services, except of motor vehicles and motorcycles",I,From 10 to 19 persons employed,0.000106889929970837,0.3899308028831212,5.0
30,"Retail trade services, except of motor vehicles and motorcycles",I,From 20 to 49 persons employed,4.951625931465915e-05,0.3899308028831212,5.0
30,"Retail trade services, except of motor vehicles and motorcycles",I,From 50 to 249 persons employed,1.5284699521994042e-05,0.3899308028831212,5.0
30,"Retail trade services, except of motor vehicles and motorcycles",I,250 persons employed or more,5.368284710163762e-06,0.3899308028831212,5.0
30,"Retail trade services, except of motor vehicles and motorcycles",Int,From 0 to 9 persons employed,0.01090785661902267,0.3899308028831212,5.0
30,"Retail trade services, except of motor vehicles and motorcycles",Int,From 10 to 19 persons employed,0.00102613305042999,0.3899308028831212,5.0
30,"Retail trade services, except of motor vehicles and motorcycles",Int,From 20 to 49 persons employed,0.0004753513285142601,0.3899308028831212,5.0
30,"Retail trade services, except of motor vehicles and motorcycles",Int,From 50 to 249 persons employed,0.00014673164581255403,0.3899308028831212,5.0
30,"Retail trade services, except of motor vehicles and motorcycles",Int,250 persons employed or more,5.1535017065872634e-05,0.3899308028831212,5.0
31,Land transport services and transport services via pipelines,C,From 0 to 9 persons employed,0.0016627221568556313,0.4398883062180041,6.0
31,Land transport services and transport services via pipelines,C,From 10 to 19 persons employed,0.00020224357808269725,0.4398883062180041,6.0
31,Land transport services and transport services via pipelines,C,From 20 to 49 persons employed,0.00012145506447125616,0.4398883062180041,6.0
31,Land transport services and transport services via pipelines,C,From 50 to 249 persons employed,4.172862017526603e-05,0.4398883062180041,6.0
31,Land transport services and transport services via pipelines,C,250 persons employed or more,1.8557875506255372e-05,0.4398883062180041,6.0
31,Land transport services and transport services via pipelines,I,From 0 to 9 persons employed,0.00021729583284348813,0.4398883062180041,6.0
31,Land transport services and transport services via pipelines,I,From 10 to 19 persons employed,2.6430565416794686e-05,0.4398883062180041,6.0
31,Land transport services and transport services via pipelines,I,From 20 to 49 persons employed,1.5872573345176545e-05,0.4398883062180041,6.0
31,Land transport services and transport services via pipelines,I,From 50 to 249 persons employed,5.453379710499227e-06,0.4398883062180041,6.0
31,Land transport services and transport services via pipelines,I,250 persons employed or more,2.4252693075092418e-06,0.4398883062180041,6.0
31,Land transport services and transport services via pipelines,Int,From 0 to 9 persons employed,0.007162601283302571,0.4398883062180041,6.0
31,Land transport services and transport services via pipelines,Int,From 10 to 19 persons employed,0.0008712159791352364,0.4398883062180041,6.0
31,Land transport services and transport services via pipelines,Int,From 20 to 49 persons employed,0.0005231987780150507,0.4398883062180041,6.0
31,Land transport services and transport services via pipelines,Int,From 50 to 249 persons employed,0.00017975671231989078,0.4398883062180041,6.0
31,Land transport services and transport services via pipelines,Int,250 persons employed or more,7.994279884249796e-05,0.4398883062180041,6.0
32,Water transport services,C,From 0 to 9 persons employed,0.00018835029384130664,0.04285654993554425,6.0
32,Water transport services,C,From 10 to 19 persons employed,2.2909803181687392e-05,0.04285654993554425,6.0
32,Water transport services,C,From 20 to 49 persons employed,1.375821990905375e-05,0.04285654993554425,6.0
32,Water transport services,C,From 50 to 249 persons employed,4.7269460139190625e-06,0.04285654993554425,6.0
32,Water transport services,C,250 persons employed or more,2.1022040815789032e-06,0.04285654993554425,6.0
32,Water transport services,I,From 0 to 9 persons employed,1.6339923294767705e-05,0.04285654993554425,6.0
32,Water transport services,I,From 10 to 19 persons employed,1.9874905371923585e-06,0.04285654993554425,6.0
32,Water transport services,I,From 20 to 49 persons employed,1.193564678884414e-06,0.04285654993554425,6.0
32,Water transport services,I,From 50 to 249 persons employed,4.100760010017387e-07,0.04285654993554425,6.0
32,Water transport services,I,250 persons employed or more,1.823721786804757e-07,0.04285654993554425,6.0
32,Water transport services,Int,From 0 to 9 persons employed,0.0006762958398778015,0.04285654993554425,6.0
32,Water transport services,Int,From 10 to 19 persons employed,8.226058090065211e-05,0.04285654993554425,6.0
32,Water transport services,Int,From 20 to 49 persons employed,4.9400649708869314e-05,0.04285654993554425,6.0
32,Water transport services,Int,From 50 to 249 persons employed,1.697270473723749e-05,0.04285654993554425,6.0
32,Water transport services,Int,250 persons employed or more,7.5482328482258755e-06,0.04285654993554425,6.0
33,Air transport services,C,From 0 to 9 persons employed,0.0004780086933361876,0.06137227433873126,6.0
33,Air transport services,C,From 10 to 19 persons employed,5.81421183908234e-05,0.06137227433873126,6.0
33,Air transport services,C,From 20 to 49 persons employed,3.4916583283378014e-05,0.06137227433873126,6.0
33,Air transport services,C,From 50 to 249 persons employed,1.1996377820827279e-05,0.06137227433873126,6.0
33,Air transport services,C,250 persons employed or more,5.335122158121933e-06,0.06137227433873126,6.0
33,Air transport services,I,From 0 to 9 persons employed,2.2003933517812828e-05,0.06137227433873126,6.0
33,Air transport services,I,From 10 to 19 persons employed,2.676426863133845e-06,0.06137227433873126,6.0
33,Air transport services,I,From 20 to 49 persons employed,1.6072974988684384e-06,0.06137227433873126,6.0
33,Air transport services,I,From 50 to 249 persons employed,5.52223220422473e-07,0.06137227433873126,6.0
33,Air transport services,I,250 persons employed or more,2.455889922365097e-07,0.06137227433873126,6.0
33,Air transport services,Int,From 0 to 9 persons employed,0.0007615942467970642,0.06137227433873126,6.0
33,Air transport services,Int,From 10 to 19 persons employed,9.263576893130243e-05,0.06137227433873126,6.0
33,Air transport services,Int,From 20 to 49 persons employed,5.563135005105163e-05,0.06137227433873126,6.0
33,Air transport services,Int,From 50 to 249 persons employed,1.9113402032461092e-05,0.06137227433873126,6.0
33,Air transport services,Int,250 persons employed or more,8.500260347205693e-06,0.06137227433873126,6.0
34,Warehousing and support services for transportation,C,From 0 to 9 persons employed,0.0003223489994833701,0.3417841104735874,6.0
34,Warehousing and support services for transportation,C,From 10 to 19 persons employed,3.9208604262651195e-05,0.3417841104735874,6.0
34,Warehousing and support services for transportation,C,From 20 to 49 persons employed,2.354627822397929e-05,0.3417841104735874,6.0
34,Warehousing and support services for transportation,C,From 50 to 249 persons employed,8.089853682323006e-06,0.3417841104735874,6.0
34,Warehousing and support services for transportation,C,250 persons employed or more,3.597782454099917e-06,0.3417841104735874,6.0
34,Warehousing and support services for transportation,I,From 0 to 9 persons employed,5.2951639968343046e-06,0.3417841104735874,6.0
34,Warehousing and support services for transportation,I,From 10 to 19 persons employed,6.440720771290171e-07,0.3417841104735874,6.0
34,Warehousing and support services for transportation,I,From 20 to 49 persons employed,3.8679010920116414e-07,0.3417841104735874,6.0
34,Warehousing and support services for transportation,I,From 50 to 249 persons employed,1.3289044491203438e-07,0.3417841104735874,6.0
34,Warehousing and support services for transportation,I,250 persons employed or more,5.9100069024333594e-08,0.3417841104735874,6.0
34,Warehousing and support services for transportation,Int,From 0 to 9 persons employed,0.006698283875267249,0.3417841104735874,6.0
34,Warehousing and support services for transportation,Int,From 10 to 19 persons employed,0.0008147391867980661,0.3417841104735874,6.0
34,Warehousing and support services for transportation,Int,From 20 to 49 persons employed,0.000489282287219798,0.3417841104735874,6.0
34,Warehousing and support services for transportation,Int,From 50 to 249 persons employed,0.00016810393877574642,0.3417841104735874,6.0
34,Warehousing and support services for transportation,Int,250 persons employed or more,7.476048704243042e-05,0.3417841104735874,6.0
35,Postal and courier services,C,From 0 to 9 persons employed,0.0001600203874259147,0.11409875903413289,6.0
35,Postal and courier services,C,From 10 to 19 persons employed,1.9463922812214274e-05,0.11409875903413289,6.0
35,Postal and courier services,C,From 20 to 49 persons employed,1.168883591969681e-05,0.11409875903413289,6.0
35,Postal and courier services,C,From 50 to 249 persons employed,4.015962582601641e-06,0.11409875903413289,6.0
35,Postal and courier services,C,250 persons employed or more,1.7860100174094942e-06,0.11409875903413289,6.0
35,Postal and courier services,I,From 0 to 9 persons employed,0.0,0.11409875903413289,6.0
35,Postal and courier services,I,From 10 to 19 persons employed,0.0,0.11409875903413289,6.0
35,Postal and courier services,I,From 20 to 49 persons employed,0.0,0.11409875903413289,6.0
35,Postal and courier services,I,From 50 to 249 persons employed,0.0,0.11409875903413289,6.0
35,Postal and courier services,I,250 persons employed or more,0.0,0.11409875903413289,6.0
35,Postal and courier services,Int,From 0 to 9 persons employed,0.0021854650980561658,0.11409875903413289,6.0
35,Postal and courier services,Int,From 10 to 19 persons employed,0.0002658269028191635,0.11409875903413289,6.0
35,Postal and courier services,Int,From 20 to 49 persons employed,0.00015963930190601215,0.11409875903413289,6.0
35,Postal and courier services,Int,From 50 to 249 persons employed,5.4847674103018873e-05,0.11409875903413289,6.0
35,Postal and courier services,Int,250 persons employed or more,2.4392282887293e-05,0.11409875903413289,6.0
36,Accommodation and food services,C,From 0 to 9 persons employed,0.031174921303908084,1.0,7.0
36,Accommodation and food services,C,From 10 to 19 persons employed,0.004272118845350367,1.0,7.0
36,Accommodation and food services,C,From 20 to 49 persons employed,0.0015537976649884345,1.0,7.0
36,Accommodation and food services,C,From 50 to 249 persons employed,0.00032837214292901065,1.0,7.0
36,Accommodation and food services,C,250 persons employed or more,5.438291827459522e-05,1.0,7.0
36,Accommodation and food services,I,From 0 to 9 persons employed,2.2281473430869502e-05,1.0,7.0
36,Accommodation and food services,I,From 10 to 19 persons employed,3.0533870997858206e-06,1.0,7.0
36,Accommodation and food services,I,From 20 to 49 persons employed,1.1105369297290512e-06,1.0,7.0
36,Accommodation and food services,I,From 50 to 249 persons employed,2.3469554603793733e-07,1.0,7.0
36,Accommodation and food services,I,250 persons employed or more,3.88687925405168e-08,1.0,7.0
36,Accommodation and food services,Int,From 0 to 9 persons employed,0.012174052614732127,1.0,7.0
36,Accommodation and food services,Int,From 10 to 19 persons employed,0.001668296099055884,1.0,7.0
36,Accommodation and food services,Int,From 20 to 49 persons employed,0.0006067702414326806,1.0,7.0
36,Accommodation and food services,Int,From 50 to 249 persons employed,0.00012823191135783149,1.0,7.0
36,Accommodation and food services,Int,250 persons employed or more,2.1236958450143824e-05,1.0,7.0
37,Publishing services,C,From 0 to 9 persons employed,0.0004524940131155881,0.09203898631521364,8.0
37,Publishing services,C,From 10 to 19 persons employed,4.08455871707438e-05,0.09203898631521364,8.0
37,Publishing services,C,From 20 to 49 persons employed,2.4760455449351844e-05,0.09203898631521364,8.0
37,Publishing services,C,From 50 to 249 persons employed,1.1154752630705858e-05,0.09203898631521364,8.0
37,Publishing services,C,250 persons employed or more,4.160656666740243e-06,0.09203898631521364,8.0
37,Publishing services,I,From 0 to 9 persons employed,0.0003280850499839877,0.09203898631521364,8.0
37,Publishing services,I,From 10 to 19 persons employed,2.9615478039740625e-05,0.09203898631521364,8.0
37,Publishing services,I,From 20 to 49 persons employed,1.795280164657509e-05,0.09203898631521364,8.0
37,Publishing services,I,From 50 to 249 persons employed,8.087858553543535e-06,0.09203898631521364,8.0
