Data extracted on 10/11/2024 22:55:33 from [ESTAT];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset: ;Use table at basic prices [naio_10_cp1610__custom_13696232];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last updated: ;31/10/2024 23:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unit of measure;;Million euro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stock or flow;;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geopolitical entity (reporting);;European Union - 27 countries (from 2020);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IND_USE (Labels);Total;;"Manufacture of food products; beverages and tobacco products";;Manufacture of textiles, wearing apparel, leather and related products;;"Manufacture of furniture; other manufacturing";;Sewerage, waste management, remediation activities;;"Motion picture, video, television programme production; programming and broadcasting activities";;Computer programming, consultancy, and information service activities;;Imputed rents of owner-occupied dwellings;;Real estate activities excluding imputed rents;;"Legal and accounting activities; activities of head offices; management consultancy activities";;"Other professional, scientific and technical activities; veterinary activities";;Security and investigation, service and landscape, office administrative and support activities;;Residential care activities and social work activities without accommodation;;"Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities";;Final consumption expenditure;;Final consumption expenditure by government;;Final consumption expenditure by households;;Final consumption expenditure by non-profit organisations serving households (NPISH);;Gross capital formation;;Changes in inventories and acquisition less disposals of valuables;;Exports of goods and services;;Exports to EU members states;;Exports to non-member of the EU;;Exports to members of the euro area;;Exports to non-members of the euro area;;Gross fixed capital formation;;Total use;;Total final use;
Services provided by extraterritorial organisations and bodies;320.99;;6.54;;5.66;;5.69;;5.33;;5.24;;5.71;;:;;4.7;;5.28;;4.6;;5.28;;4.69;;3.84;;17.48;;9.69;;7.09;;0.7;;15.06;;6.68;;0;;:;;0;;:;;:;;8.38;;353.53;;32.54;
Value added, gross;14 303 899.14;;284 672.03;;70 250.23;;107 188.65;;106 844.29;;58 098.55;;450 679;;:;;1 477 653.98;;502 761.77;;72 210.44;;292 940.2;;317 070.06;;104 132.23;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Operating surplus and mixed income, net;0;;0;;0;;0;;0;;0;;0;;:;;:;;0;;0;;0;;0;;0;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Operating surplus and mixed income, gross;6 698 427.2;;135 202.05;;30 666.2;;47 665.62;;54 295.22;;29 142.62;;177 292.06;;:;;1 320 278;;200 433.72;;43 930.93;;91 561.14;;20 306.35;;54 551.13;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Mixed income, gross;0;;0;;0;;0;;0;;0;;0;;:;;:;;0;;0;;0;;0;;0;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Compensation of employees;7 447 036.79;;147 133.21;;39 609.14;;59 632.56;;50 858.73;;30 393.49;;269 237.19;;:;;67 044.55;;297 724.62;;28 555.94;;203 139.04;;296 960.17;;51 425.54;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Wages and salaries;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Taxes less subsidies on products;429 988.71;;6 811.34;;1 594.54;;1 869.49;;5 424.99;;927.64;;4 364.86;;:;;29 236.38;;8 243.36;;1 071.54;;3 706.86;;14 789.88;;7 085.67;;685 294.68;;17 981.24;;901 248.08;;90.01;;151 105.49;;5 790.25;;0;;:;;:;;:;;:;;246 280.94;;1 129 768.7;;836 400.17;
Other taxes less other subsidies on production;158 435.15;;2 336.77;;-25.11;;-109.53;;1 690.34;;-1 437.57;;4 149.75;;:;;90 331.42;;4 603.43;;-276.43;;-1 759.98;;-196.45;;-1 844.43;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Direct purchases abroad by residents;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;67 803.67;;0;;87 668.1;;0;;0;;0;;0;;:;;:;;:;;:;;0;;87 668.1;;87 668.1;
Purchases on the domestic territory by non-residents;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;-122 245.54;;0;;-188 898.7;;0;;0;;0;;188 898.7;;:;;:;;:;;:;;0;;0;;0;
Output;31 673 589.03;;1 274 739.86;;221 615.84;;284 192.31;;283 577.06;;154 992.56;;951 235.31;;:;;1 950 461.28;;1 017 694.01;;151 240.08;;558 678.94;;463 631.43;;201 578.97;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Intermediate consumption;17 369 689.89;;990 067.83;;151 365.61;;177 003.65;;176 732.77;;96 894.01;;500 556.3;;:;;472 807.3;;514 932.25;;79 029.64;;265 738.75;;146 561.37;;97 446.74;;10 868 100.48;;3 393 424.75;;8 272 866.17;;208 796.99;;3 680 502.16;;366 033.71;;3 291 159.74;;:;;3 291 159.74;;:;;:;;3 566 539.64;;34 867 131.65;;17 927 430.47;
Total intermediate consumption /final use;17 369 689.89;;990 067.83;;151 365.61;;177 003.65;;176 732.77;;96 894.01;;500 556.3;;:;;472 807.3;;514 932.25;;79 029.64;;265 738.75;;146 561.37;;97 446.74;;10 868 100.48;;3 393 424.75;;8 185 198.07;;208 796.99;;3 680 502.16;;366 033.71;;3 291 159.74;;:;;3 291 159.74;;:;;:;;3 566 539.64;;34 779 463.55;;17 839 762.37;
Cif/fob adjustments on exports;0;;0;;0;;0;;0;;0;;0;;:;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;:;;:;;:;;:;;0;;0;;0;
Consumption of fixed capital;0;;0;;0;;0;;0;;0;;0;;:;;:;;0;;0;;0;;0;;0;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Use of imported products;2 153 475.82;;103 873.44;;32 814.61;;29 229.35;;12 357.78;;14 093.13;;95 126.51;;:;;13 780.09;;50 960.53;;6 939.63;;18 928.35;;8 995.25;;8 595.47;;:;;43 702.34;;475 918.18;;335.02;;:;;109 598.17;;:;;:;;:;;:;;:;;322 845;;:;;:;
Total employment domestic concept;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
